AK;HOZ1;HOZ2;HOZ3
5113;1626;2109;2593
7500;2234;2886;3538
10000;2812;3618;4421
15000;3903;4981;6053
20000;4920;6262;7605
25000;5882;7489;9100
30000;6795;8670;10552
35000;7674;9804;11932
40000;8506;10891;13269
45000;9336;11942;14541
50000;10157;12991;15818
75000;13825;17645;21470
100000;17184;21839;26490
150000;23216;29252;35290
200000;29057;36110;43159
250000;35152;43175;51203
300000;41263;50245;59227
350000;47493;57474;67455
400000;53700;64757;75819
450000;59961;72030;84097
500000;66254;79301;92353
750000;96686;113598;130516
1000000;125694;144936;164174
1500000;180748;200873;220993
2000000;233881;254373;274869
2500000;285744;308367;330998
3000000;335147;359125;383098
3500000;380361;405518;430680
3750000;401625;427295;452971
3834689;408667;434499;460336
